block,scenario,model_id,true_beta,estimate_mean,estimate_sd,bias_mean,n_reps
restoration,observational_naive,edge_present,0.8,0.6502699937126866,0.009110244459573447,-0.14973000628731348,250
restoration,intervention_doX,edge_present,0.8,0.7996732374804613,0.014920291046659418,-0.0003267625195387813,250
restoration,anchor_adjust_noise_0.00,edge_present,0.8,0.8017190562454529,0.01294264126077003,0.0017190562454528768,250
restoration,anchor_adjust_noise_0.25,edge_present,0.8,0.7847313724986339,0.012694087016820994,-0.01526862750136615,250
restoration,anchor_adjust_noise_0.50,edge_present,0.8,0.7510974936429609,0.011484907513823013,-0.04890250635703919,250
restoration,anchor_adjust_noise_1.00,edge_present,0.8,0.7006535036660639,0.010180672077189267,-0.09934649633393611,250
restoration,observational_naive,edge_absent,0.0,0.650396180861103,0.009541681714397102,0.650396180861103,250
restoration,intervention_doX,edge_absent,0.0,0.00023910401190965864,0.018701180642706417,0.00023910401190965864,250
restoration,anchor_adjust_noise_0.00,edge_absent,0.0,0.00019500460617245618,0.0058946499472363485,0.00019500460617245618,250
restoration,anchor_adjust_noise_0.25,edge_absent,0.0,0.07246990046830927,0.0071833746516549776,0.07246990046830927,250
restoration,anchor_adjust_noise_0.50,edge_absent,0.0,0.21624891398562565,0.008830960459593074,0.21624891398562565,250
restoration,anchor_adjust_noise_1.00,edge_absent,0.0,0.43355249421721587,0.009645126364861135,0.43355249421721587,250
